id,number,type,track_time,campaign,prelanding,offer,source,network,isp,landing,connection_type,country,city,region,os,browser,device,ip,user_agent,ref_id,cost,deeplink,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,rt_source,rt_medium,rt_campaign,rt_adgroup,rt_ad,rt_placement,rt_keyword,rt_campaign_id,rt_adgroup_id,rt_ad_id,rt_placement_id,server
6a85b68e3c008471a5379b44,,LP Click,2026-08-19 13:58:38 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,Facebook perfil 1,WhatsApp Direct - Kommo CRM,TELEFÓNICA CHILE S.A.,Landing Vercel Favio,Cellular,CL,San Bernardo,Santiago Metropolitan,macOS,Chrome,DeviceComputer,191.127.216.249,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,0.0000,,,,,,,,,,,,,,,,,,,,fb.2.1787147916107.820523118325271031.AQYCAQMB,,,,,,,,,,,,,
6a85b68ae997211587021e80,,Click,2026-08-19 13:58:34 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,Facebook perfil 1,WhatsApp Direct - Kommo CRM,TELEFÓNICA CHILE S.A.,Landing Vercel Favio,Cellular,CL,San Bernardo,Santiago Metropolitan,macOS,Chrome,DeviceComputer,191.127.216.249,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,0.0000,,,,,,,,,,,,,,,,,,,,fb.2.1787147916107.820523118325271031.AQYCAQMB,,,,,,,,,,,,,
6a8545593c008471a528f8bc,,LP Click,2026-08-19 05:55:37 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,Facebook perfil 1,WhatsApp Direct - Kommo CRM,TELEFÓNICA CHILE S.A.,Landing Vercel Favio,Cable/DSL,CL,Puente Alto,Santiago Metropolitan,iOS,Safari,DevicePhone,191.113.253.85,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",,0.0000,,,,,,,,,,,,,,,,,,,,fb.2.1787118934947.198114144954007473.AQYCAQMB,,,,,,,,,,,,,
6a8545553c008471a528f88d,,Click,2026-08-19 05:55:33 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,Facebook perfil 1,WhatsApp Direct - Kommo CRM,TELEFÓNICA CHILE S.A.,Landing Vercel Favio,Cable/DSL,CL,Puente Alto,Santiago Metropolitan,iOS,Safari,DevicePhone,191.113.253.85,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",,0.0000,,,,,,,,,,,,,,,,,,,,fb.2.1787118934947.198114144954007473.AQYCAQMB,,,,,,,,,,,,,
6a8512e6e997211587f017e1,,Click,2026-08-19 02:20:22 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Telmex Colombia S.A.,Landing Vercel Favio,Cable/DSL,CO,Barranquilla,Atlántico,Windows,Chrome,DeviceComputer,181.63.26.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,0.0000,,,,,,,,,,,,,,,,,,,,fb.2.1787100229759.312071248715942297.AQYAAQMB,,,,,,,,,,,,,
6a8512b9e997211587f01149,,Click,2026-08-19 02:19:37 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Telmex Colombia S.A.,Landing Vercel Favio,Cable/DSL,CO,Barranquilla,Atlántico,Unknown,Unknown,DeviceComputer,181.63.26.84,WhatsApp/2.2631.102 W,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a8510203c008471a5243a82,,LP Click,2026-08-19 02:08:32 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Telmex Colombia S.A.,Landing Vercel Favio,Cable/DSL,CO,Barranquilla,Atlántico,Windows,Chrome,DeviceComputer,181.63.26.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,0.0000,,{{ad.id}},{{adset.id}},{{campaign.id}},{{ad.name}},{{adset.name}},{{campaign.name}},{{placement}},{{site_source_name}},facebook,paid,,,,,,,,,fb.2.1787100229759.312071248715942297.AQYAAQMB,,facebook,paid,{{campaign.name}},{{adset.name}},{{ad.name}},{{placement}},,{{campaign.id}},{{adset.id}},{{ad.id}},,
6a85101a3c008471a52439a5,,Click,2026-08-19 02:08:26 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Telmex Colombia S.A.,Landing Vercel Favio,Cable/DSL,CO,Barranquilla,Atlántico,Windows,Chrome,DeviceComputer,181.63.26.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,0.0000,,{{ad.id}},{{adset.id}},{{campaign.id}},{{ad.name}},{{adset.name}},{{campaign.name}},{{placement}},{{site_source_name}},facebook,paid,,,,,,,,,fb.2.1787100229759.312071248715942297.AQYAAQMB,,facebook,paid,{{campaign.name}},{{adset.name}},{{ad.name}},{{placement}},,{{campaign.id}},{{adset.id}},{{ad.id}},,
6a850fd0e997211587ef9a94,,LP Click,2026-08-19 02:07:12 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Telmex Colombia S.A.,Landing Vercel Favio,Cable/DSL,CO,Barranquilla,Atlántico,Unknown,Unknown Crawler,DeviceComputer,181.63.26.84,curl/8.21.0,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a850fc4e997211587ef98d1,,Click,2026-08-19 02:07:00 +0000 UTC,Meta Ads - WhatsApp Favio,,Landing/WhatsApp Favio,Facebook perfil 1,WhatsApp Direct - Kommo CRM,Telmex Colombia S.A.,Landing Vercel Favio,Cable/DSL,CO,Barranquilla,Atlántico,Unknown,Unknown Crawler,DeviceComputer,181.63.26.84,curl/8.21.0,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
